id,limit
4518,0
4678,0
4812,0
4844,0
4851,0
4860,0
4885,0
4891,0
4898,0
4900,0
4901,0
4907,0
4910,0
4911,0
4913,0
4966,0
4984,0
5123,0
5127,0
5195,0
5285,0
5371,0
5375,0
5399,0
5406,0
5433,0
5446,0
5477,0
5539,0
5605,0
5657,0
5671,0
5724,0
5906,0
5916,0
5945,0
6078,0
6444,0
6458,0
6654,0
6708,0
7386,0
7407,0
7435,0
7557,0
7601,0
7714,0
8085,0
8090,0
8159,0
8318,0
8440,0
8472,0
8733,0
9095,0
9153,0
9455,0
9742,0
9821,0
9860,0
9874,0
9918,0
9957,0
10480,0
10519,0
10520,0
10521,0
10544,0
11022,0
11159,0
11173,0
11207,0
11296,0
11518,0
11556,0
11651,0
11725,0
11840,0
11851,0
11938,0
11960,0
11973,0
12111,0
12354,0
12412,0
12441,0
12638,0
12786,0
12788,0
12801,0
12906,0
12908,0
12938,0
13077,0
13082,0
13507,0
13554,0
13597,0
13598,0
13671,0
13836,0
13903,0
13923,0
14054,0
14130,0
14248,0
14285,0
4023,1
4024,1
4025,1
4026,1
4027,1
4343,1
4426,1
4597,1
4818,1
4821,1
4842,1
4895,1
4960,1
5236,1
5328,1
5530,1
5537,1
5576,1
5740,1
5788,1
5846,1
5990,1
6042,1
6075,1
6161,1
6511,1
6615,1
6682,1
6707,1
6904,1
7187,1
7384,1
7423,1
7452,1
7561,1
7568,1
7747,1
7970,1
8197,1
8272,1
8602,1
8709,1
8823,1
8824,1
9178,1
9256,1
9271,1
9350,1
9597,1
9778,1
9822,1
10001,1
10458,1
10463,1
10522,1
11318,1
11319,1
11486,1
11500,1
11809,1
11834,1
11940,1
12047,1
12074,1
12094,1
12108,1
12169,1
12466,1
12689,1
12690,1
12749,1
12754,1
12794,1
12827,1
12855,1
12907,1
12933,1
12936,1
12967,1
12978,1
12983,1
13011,1
13030,1
13092,1
13107,1
13292,1
13419,1
13463,1
13508,1
13616,1
13622,1
13668,1
13674,1
13675,1
13679,1
13814,1
13896,1
13907,1
13979,1
14240,1
14244,1
14314,1
14442,1
4817,2
6799,2
7445,2
7570,2
8187,2
8352,2
9702,2
11168,2
12923,2
12950,2
13047,2
13230,2
13288,2
13522,2
13908,2
13930,2
13981,2
14070,2
